,ParkID,Name,Official,Advisories,SpecialFeatures,Facilities,Washrooms,StreetNumber,StreetName,EWStreet,NSStreet,NeighbourhoodName,NeighbourhoodURL,Hectare,GoogleMapDest
187,130,William Mackie Park,1,N,N,Y,N,1592,W 71st Avenue,W 71st Avenue,SW Marine Drive,Marpole,https://vancouver.ca/news-calendar/marpole.aspx,0.37,"49.206787, -123.142733"
65,231,Camosun,0,N,N,N,N,4102,W 16th Avenue,W 16th Avenue,Discovery Street,Dunbar-Southlands,https://vancouver.ca/news-calendar/dunbar-southlands.aspx,0.0,"49.257423, -123.201329"
156,15,Creekside Park,1,N,Y,Y,N,1455,Quebec Street,Terminal Avenue,Quebec Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,2.53,"49.274415, -123.102924"
183,122,Ash Park,1,N,N,Y,N,8288,Ash Street,W 68th Avenue,Ash Street,Marpole,https://vancouver.ca/news-calendar/marpole.aspx,0.51,"49.210597, -123.119435"
74,38,Deering Island Park,1,N,N,N,N,3530,Deering Island Pl.,Deering Island Place,Carrington Street,Dunbar-Southlands,https://vancouver.ca/news-calendar/dunbar-southlands.aspx,0.74,"49.218288, -123.184356"
110,140,Robson Park,1,N,N,Y,Y,599,Kingsway,Kingsway,St. George Street,Mount Pleasant,https://vancouver.ca/news-calendar/mount-pleasant.aspx,1.56,"49.258229, -123.091798"
61,220,Spanish Banks Beach Park,1,N,Y,Y,Y,4801,NW Marine Drive,NW Marine Drive,Blanca Street,West Point Grey,https://vancouver.ca/news-calendar/point-grey.aspx,6.53,"49.277063, -123.216909"
213,236,Ebisu Park,0,N,N,Y,N,8805,Olser Street,W 72nd Avenue,Olser Street,Marpole,https://vancouver.ca/news-calendar/marpole.aspx,0.4,"49.205468, -123.132836"
38,117,Point Grey Park Site at Trafalgar Street,0,N,N,N,N,2601,Point Grey Road,Point Grey Road,Trafalgar Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,0.22,"49.273329, -123.164637"
27,85,John Hendry (Trout Lake) Park,1,N,N,Y,Y,3300,Victoria Drive,E 15th Avenue,Victoria Drive,Kensington-Cedar Cottage,https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx,27.31,"49.255808, -123.062242"
54,195,Humm Park,1,N,N,Y,N,7250,Humm Street,Upland Drive,Humm Street,Victoria-Fraserview,https://vancouver.ca/news-calendar/victoria-fraserview.aspx,0.47,"49.218698, -123.063266"
145,241,Habitat Island,0,N,N,N,N,1616,Columbia Street,,,Mount Pleasant,https://vancouver.ca/news-calendar/mount-pleasant.aspx,0.6,"49.27221, -123.110791"
159,23,Helmcken Park,1,N,N,N,N,1103,Pacific Boulevard,Helmcken Street,Pacific Boulevard,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,0.17,"49.274814, -123.119555"
121,164,Hillcrest Park,1,N,N,Y,N,4501,Clancy Loranger Way,Midlothian Avenue,Clancy Loranger Way,Riley Park,https://vancouver.ca/news-calendar/renfrew.aspx,7.51,"49.244734, -123.108417"
199,179,MacLean Park,1,N,N,Y,Y,710,Keefer Street,Keefer Street,Heatley Avenue,Strathcona,https://vancouver.ca/news-calendar/strathcona.aspx,1.21,"49.278838, -123.088396"
179,113,Margaret Pigott Park,1,N,N,N,N,2743,Point Grey Road,Point Grey Road,Macdonald Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,0.38,"49.272089, -123.167454"
200,180,Oppenheimer Park,1,N,Y,Y,Y,488,Powell Street,Powell Street,Jackson Street,Strathcona,https://vancouver.ca/news-calendar/strathcona.aspx,1.0,"49.282645, -123.094313"
87,74,Kaslo Park,1,N,N,Y,N,2851,E 7th Avenue,E 7th Avenue,Kaslo Street,Hastings-Sunrise,https://vancouver.ca/news-calendar/hastings-sunrise.aspx,0.45,"49.264099, -123.046012"
9,37,Chaldecott Park,1,N,N,Y,Y,4175,Wallace Street,King Edward Avenue,Wallace Street,Dunbar-Southlands,https://vancouver.ca/news-calendar/dunbar-southlands.aspx,3.45,"49.249092, -123.192177"
6,28,CRAB Park at Portside,1,N,N,Y,Y,101,E Waterfront Road,E Waterfront Road,Main Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,3.31,"49.284942, -123.102377"
133,194,Gordon Park,1,N,N,Y,Y,6675,Commercial Street,E 49th Avenue,Commercial Street,Victoria-Fraserview,https://vancouver.ca/news-calendar/victoria-fraserview.aspx,6.51,"49.22338, -123.070491"
137,209,Langara Park,0,N,N,N,N,200,W 49th Avenue,W 49th Avenue,Columbia Street,Oakridge,https://vancouver.ca/news-calendar/oakridge.aspx,1.21,"49.225093, -123.111506"
214,240,Hinge Park,0,N,N,Y,N,215,W 1st Avenue,W 1st Avenue,Columbia Street,Mount Pleasant,https://vancouver.ca/news-calendar/mount-pleasant.aspx,0.95,"49.270869, -123.110533"
152,9,Park Site on Trafalgar Street,0,N,N,N,N,4600,Trafalgar Street,W 31st Avenue,Trafalgar Street,Arbutus-Ridge,https://vancouver.ca/news-calendar/arbutus-ridge.aspx,0.14,"49.244396, -123.165105"
67,249,Shannon Mews,1,N,N,Y,N,1551,W 57th Ave,W 57th Ave,Granville Street,Kerrisdale,https://vancouver.ca/news-calendar/kerrisdale.aspx,0.69,"49.21978389371605, -123.141960658531"
3,25,May & Lorne Brown Park,1,N,N,N,N,801,Beach Avenue,Beach Avenue,Hornby Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,0.25,"49.275188, -123.132046"
86,73,Hastings Community Park,1,N,N,Y,Y,3000,E Pender Street,E Pender Street,E Hastings Street,Hastings-Sunrise,https://vancouver.ca/news-calendar/hastings-sunrise.aspx,4.19,"49.280637, -123.038884"
147,3,Prince of Wales Park,1,N,N,Y,N,4780,Haggart Street,W 32nd Avenue,Haggart Street,Arbutus-Ridge,https://vancouver.ca/news-calendar/arbutus-ridge.aspx,2.89,"49.244397, -123.156429"
48,166,Prince Edward Park,1,N,N,Y,Y,3773,Prince Edward Street,E 21st Avenue,Prince Edward Street,Riley Park,https://vancouver.ca/news-calendar/renfrew.aspx,1.21,"49.251692, -123.097024"
117,159,Renfrew Community Park,1,N,N,Y,N,2929,E 22nd Avenue,E 22nd Avenue,Renfrew Street,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,5.0,"49.252129, -123.042896"
51,172,Shaughnessy Park,1,N,N,N,N,1300,The Crescent,The Crescent,Hudson Street,Shaughnessy,https://vancouver.ca/news-calendar/shaughnessy.aspx,1.45,"49.255715, -123.135068"
1,13,Coal Harbour Park,1,N,N,Y,N,480,Broughton Street,W Hastings Street,Broughton Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,0.95,"49.289981, -123.125015"
18,64,Woodland Park,1,N,N,Y,Y,705,Woodland Drive,Adanac Street,Woodland Drive,Grandview-Woodland,https://vancouver.ca/news-calendar/grandview-woodland.aspx,1.58,"49.278526, -123.073387"
12,44,Granville Park,1,N,N,Y,Y,3001,Fir Street,W 14th Avenue,Fir Street,Fairview,https://vancouver.ca/news-calendar/fairview.aspx,1.96,"49.258105, -123.142395"
194,158,Price Park,1,N,N,Y,N,3650,Price Street,Price Street,Boundary Road,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,0.35,"49.251572, -123.097564"
56,197,Riverfront Park,1,N,N,Y,Y,2750,E Kent Ave S,E Kent Ave S,Elliott Street,Killarney,https://vancouver.ca/news-calendar/killarney.aspx,4.01,"49.205951, -123.04575"
25,76,Rupert Park,1,N,N,Y,Y,1600,Rupert Street,E 1st Avenue,Rupert Street,Hastings-Sunrise,https://vancouver.ca/news-calendar/hastings-sunrise.aspx,11.43,"49.271629, -123.031384"
101,108,Connaught Park,1,N,N,Y,N,2390,W 10th Avenue,W 10th Avenue,Vine Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,5.98,"49.262026, -123.160025"
43,145,Langara Golf Course,1,N,N,Y,N,6706,Alberta Street,W 49th Avenue,Alberta Street,South Cambie,https://vancouver.ca/news-calendar/south-cambie.aspx,48.57,"49.221371, -123.11211"
129,186,Memorial South Park,1,N,N,Y,Y,5955,Ross Street,E 41st Avenue,Ross Street,Sunset,https://vancouver.ca/news-calendar/sunset.aspx,13.59,"49.230901, -123.085138"
103,114,McBride Park,1,N,N,Y,Y,3350,W 4th Avenue,W 4th Avenue,Waterloo Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,1.71,"49.268073, -123.179732"
14,51,Garden Park,1,N,N,Y,Y,1851,Garden Drive,E 3rd Avenue,Garden Drive,Grandview-Woodland,https://vancouver.ca/news-calendar/grandview-woodland.aspx,0.97,"49.268159, -123.058994"
134,199,Alexandra Park,1,N,N,N,N,1755,Beach Avenue,Beach Avenue,Bidwell Street,West End,https://vancouver.ca/news-calendar/west-end.aspx,0.55,"49.28546, -123.14223"
154,11,Cardero Park,1,N,Y,N,N,1601,Bayshore Drive,Bayshore Drive,Cardero Street,West End,https://vancouver.ca/news-calendar/west-end.aspx,0.33,"49.292211, -123.128206"
115,151,Collingwood Park,1,N,N,Y,Y,5275,McKinnon Street,Euclid Street,McKinnon Street,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,1.27,"49.237066, -123.036887"
217,248,s??q?lxen?m'ts'exwts'a?xwi7,1,N,N,Y,N,860,Richards Street,Richards Street,Smithe Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,0.32,"49.28477, -123.11862"
70,14,Coopers' Park,1,N,Y,Y,N,1020,Marinaside Crescent,Nelson Street,Marinaside Crescent,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,1.71,"49.273253, -123.1139"
158,21,Harbour Green Park,1,N,Y,Y,Y,1199,W Cordova Street,W Cordova Street,Bute Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,3.1,"49.290263, -123.121924"
175,88,Kingcrest Park,1,N,N,Y,N,4150,Knight Street,E 26th Avenue,Knight Street,Kensington-Cedar Cottage,https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx,2.41,"49.247499, -123.074674"
15,52,Grandview Park,1,N,N,Y,Y,1255,Commercial Drive,Charles Street,Commercial Drive,Grandview-Woodland,https://vancouver.ca/news-calendar/grandview-woodland.aspx,0.89,"49.273511, -123.070469"
146,244,Fraser River Trail,1,N,N,N,N,9149,Hudson Street,SW Marine Drive,Hudson Street,Marpole,https://vancouver.ca/news-calendar/marpole.aspx,0.35,"49.200357, -123.135862"
22,71,Dusty Greenwell Park,1,N,N,Y,N,2799,Wall Street,Wall Street,North Kaslo Street,Hastings-Sunrise,https://vancouver.ca/news-calendar/hastings-sunrise.aspx,0.44,"49.292113, -123.047643"
138,213,Park Site on Shaughnessy Street,0,N,N,N,N,9250,Shaughnessy Street,Shaughnessy Street,,Marpole,https://vancouver.ca/news-calendar/marpole.aspx,0.56,"49.202224, -123.125036"
58,202,Morton Park,1,N,N,N,N,1800,Morton Avenue,Morton Avenue,Denman Street,West End,https://vancouver.ca/news-calendar/west-end.aspx,0.22,"49.28768, -123.141955"
162,31,Victory Square,1,N,N,N,N,200,W Hastings Street,W Hastings Street,Cambie Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,0.39,"49.282218, -123.110133"
75,42,Valdez Park,1,N,N,Y,N,3210,W 22nd Avenue,W 22nd Avenue,Balaclava Street,Dunbar-Southlands,https://vancouver.ca/news-calendar/dunbar-southlands.aspx,0.77,"49.252391, -123.1764"
64,225,George Wainborn Park,1,N,Y,N,N,450,Beach Crescent,Beach Crescent,,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,2.49,"49.272541, -123.129311"
69,8,Trafalgar Park,1,N,N,Y,Y,2610,W 23rd Avenue,W 23rd Avenue,Valley Drive,Arbutus-Ridge,https://vancouver.ca/news-calendar/arbutus-ridge.aspx,4.85,"49.25046, -123.161879"
211,228,Oak Meadows Park,0,N,Y,Y,N,899,W 37th Avenue,W 37th Avenue,Oak Street,South Cambie,https://vancouver.ca/news-calendar/south-cambie.aspx,5.0,"49.238445, -123.125795"
131,188,Ross Park,1,N,N,Y,Y,7402,Ross Street,E 59th Avenue,Ross Street,Sunset,https://vancouver.ca/news-calendar/sunset.aspx,1.51,"49.217276, -123.082351"
168,60,Templeton Park,1,N,N,Y,N,700,Templeton Drive,Adanac Street,Templeton Drive,Grandview-Woodland,https://vancouver.ca/news-calendar/grandview-woodland.aspx,1.93,"49.278279, -123.058646"
76,48,Willow Park,1,N,N,N,N,802,W 7th Avenue,W 7th Avenue,Willow Street,Fairview,https://vancouver.ca/news-calendar/fairview.aspx,0.07,"49.264868, -123.122031"
34,105,Sparwood Park,1,N,N,Y,N,6998,Arlington Street,Whithorn Court,Arlington Street,Killarney,https://vancouver.ca/news-calendar/killarney.aspx,3.6,"49.220024, -123.028777"
155,12,Cathedral Square,1,N,N,N,N,566,Richards Street,Dunsmuir Street,Richards Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,0.27,"49.282084, -123.113877"
94,95,Malkin Park,1,N,N,N,N,6001,Balaclava Street,W 44th Avenue,Balaclava Street,Kerrisdale,https://vancouver.ca/news-calendar/kerrisdale.aspx,2.42,"49.231959, -123.176845"
118,160,Renfrew Ravine Park,1,N,N,N,N,3900,Renfrew Street,E 24th Avenue,Renfrew Street,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,5.89,"49.247166, -123.044111"
97,101,Everett Crowley Park,1,N,N,Y,N,8200,Kerr Street,SE Marine Drive,Kerr Street,Killarney,https://vancouver.ca/news-calendar/killarney.aspx,38.08,"49.210985, -123.036321"
102,109,Delamont Park,1,N,N,Y,N,2091,W 7th Avenue,W 7th Avenue,Arbutus Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,0.22,"49.265808, -123.152426"
180,119,Tatlow Park,1,N,N,Y,Y,2845,W 3rd Avenue,Point Grey Road,Point Grey Road,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,1.4,"49.270068, -123.169609"
92,86,Jones Park,1,N,N,Y,Y,5350,Commercial Street,E 38th Avenue,Commercial Street,Kensington-Cedar Cottage,https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx,1.42,"49.235945, -123.067051"
124,171,Kerrisdale Park,1,N,N,Y,N,5670,E Boulevard,W 39th Avenue,East Boulevard,Shaughnessy,https://vancouver.ca/news-calendar/shaughnessy.aspx,2.99,"49.235725, -123.152674"
99,104,Kinross Ravine Park,1,N,N,N,N,3350,SE Marine Drive,3350 SE Marine Drive,Kinross Street,Killarney,https://vancouver.ca/news-calendar/killarney.aspx,1.2,"49.207509, -123.036128"
105,126,Oak Park,1,N,N,Y,Y,900,W 59th Avenue,W 59th Avenue,Oak Street,Marpole,https://vancouver.ca/news-calendar/marpole.aspx,5.25,"49.215497, -123.128319"
135,200,Barclay Heritage Square,1,N,N,Y,Y,1433,Barclay Street,Barclay Street,Nicola Street,West End,https://vancouver.ca/news-calendar/west-end.aspx,0.56,"49.28718, -123.132167"
176,92,Fraser River Park,1,N,N,Y,Y,8705,Angus Drive,W 75th Avenue,Angus Drive,Kerrisdale,https://vancouver.ca/news-calendar/kerrisdale.aspx,9.1,"49.207915, -123.150862"
205,201,English Bay Beach Park,1,N,Y,Y,Y,1700,Beach Avenue,Beach Avenue,Bidwell Street,West End,https://vancouver.ca/news-calendar/west-end.aspx,9.83,"49.287118, -123.143317"
191,149,Cariboo Park,1,N,N,Y,N,3450,E 29th Avenue,E 29th Avenue,Cariboo Street,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,0.77,"49.244232, -123.028792"
215,245,Trillium Park,0,N,N,Y,Y,600,National Avenue,National Avenue,Thornton Street,Strathcona,https://vancouver.ca/news-calendar/strathcona.aspx,3.05,"49.275015, -123.093116"
39,118,Seaforth Peace Park,1,N,N,N,N,1620,Chestnut Street,Cornwall Avenue,Chestnut Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,0.74,"49.271554, -123.145967"
84,67,Burrard View Park,1,N,N,Y,Y,650,North Penticton Street,Wall Street,N Penticton Street,Hastings-Sunrise,https://vancouver.ca/news-calendar/hastings-sunrise.aspx,2.76,"49.291253, -123.050513"
2,16,David Lam Park,1,N,Y,Y,Y,1300,Pacific Boulevard,Drake Street,Pacific Boulevard,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,4.34,"49.272569, -123.124145"
55,196,Nanaimo Park,1,N,N,Y,Y,2390,E 46th Avenue,E 46th Avenue,Nanaimo Street,Victoria-Fraserview,https://vancouver.ca/news-calendar/victoria-fraserview.aspx,2.91,"49.227724, -123.057508"
49,169,Angus Park,1,N,N,N,N,3600,Angus Drive,Alexandra Street,Angus Drive,Shaughnessy,https://vancouver.ca/news-calendar/shaughnessy.aspx,1.0,"49.253932, -123.143816"
68,1,Arbutus Village Park,1,N,N,Y,N,4202,Valley Drive,King Edward Avenue,Valley Drive,Arbutus-Ridge,https://vancouver.ca/news-calendar/arbutus-ridge.aspx,1.41,"49.249783, -123.15525"
208,212,Sahalli Park,0,N,N,N,N,2300,Fraser Street,E 7th Avenue,Fraser Street,Mount Pleasant,https://vancouver.ca/news-calendar/mount-pleasant.aspx,0.06,"49.263885, -123.089121"
164,39,Memorial West Park,1,N,N,Y,Y,4747,Dunbar Street,W 31st Avenue,Dunbar Street,Dunbar-Southlands,https://vancouver.ca/news-calendar/dunbar-southlands.aspx,7.49,"49.243326, -123.188166"
78,50,Cambridge Park,1,N,N,N,N,2099,Wall Street,Cambridge Street,Wall Street,Grandview-Woodland,https://vancouver.ca/news-calendar/grandview-woodland.aspx,0.19,"49.286753, -123.062784"
212,234,Aberdeen Park,1,N,N,Y,N,3525,Foster Avenue,Foster Avenue,Aberdeen Street,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,1.0,"49.234765, -123.027446"
153,10,Andy Livingstone Park,1,N,N,Y,Y,89,Expo Boulevard,Expo Boulevard,Carrall Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,4.21,"49.278923, -123.1055"
111,142,Cambie Park,1,N,N,N,N,500,W 54th Avenue,W 54th Avenue,Cambie Street,Oakridge,https://vancouver.ca/news-calendar/oakridge.aspx,0.93,"49.221411, -123.117988"
